1,2020-01-11,2020-01-25,2021-04-23,4500,32535,31
2,2020-01-12,2020-01-26,2020-08-30,4500,16537.5,19
3,2020-01-20,2020-02-03,2020-11-23,1500,7245,22
4,2020-01-28,2020-02-11,2020-06-08,5000,10950,97
5,2020-02-13,2020-02-27,2021-03-10,4000,24300,37
6,2020-02-17,2020-03-02,2021-08-11,1000,8325,121
7,2020-02-23,2020-03-08,2021-08-23,1000,8415,151
8,2020-02-25,2020-03-10,2021-04-16,2500,16125,96
9,2020-02-27,2020-03-12,2021-09-11,4500,38880,197
10,2020-03-01,2020-03-15,2020-03-25,1500,855,157
11,2020-03-03,2020-03-17,2021-07-21,1000,7785,167
12,2020-03-04,2020-03-18,2020-10-06,2500,8625,104
13,2020-03-04,2020-03-18,2020-08-12,2000,5250,200
14,2020-03-09,2020-03-23,2021-04-27,1000,6420,116
15,2020-03-10,2020-03-24,2020-10-20,3500,12495,66
16,2020-03-14,2020-03-28,,4000,53040,206
17,2020-03-14,2020-03-28,2020-08-09,2500,6075,261
18,2020-03-17,2020-03-31,2021-05-17,4000,26400,74
19,2020-03-23,2020-04-06,2020-06-20,3500,5407.5,153
20,2020-03-23,2020-04-06,2020-04-23,2500,1687.5,230
21,2020-03-25,2020-04-08,2021-07-08,2500,18150,68
22,2020-03-25,2020-04-08,2020-07-19,500,975,145
23,2020-03-26,2020-04-09,2021-04-25,500,3067.5,68
24,2020-03-28,2020-04-11,2021-04-05,3500,20317.5,317
25,2020-03-29,2020-04-12,2020-04-13,2500,1087.5,303
26,2020-03-29,2020-04-12,2020-11-26,3000,11520,319
27,2020-03-30,2020-04-13,2020-09-22,2500,7125,185
28,2020-03-30,2020-04-13,2020-06-27,4500,6952.5,246
29,2020-03-30,2020-04-13,2021-09-05,1500,12105,322
30,2020-03-31,2020-04-14,2021-04-02,2500,14287.5,329
31,2020-04-02,2020-04-16,2021-05-29,2000,13080,275
32,2020-04-02,2020-04-16,2021-09-23,500,4147.5,294
33,2020-04-05,2020-04-19,2020-09-06,500,1260,309
34,2020-04-09,2020-04-23,,1000,12870,199
35,2020-04-11,2020-04-25,2021-09-01,2000,15660,352
36,2020-04-12,2020-04-26,2021-04-18,5000,28875,25
37,2020-04-12,2020-04-26,2020-11-15,1000,3465,122
38,2020-04-12,2020-04-26,2020-04-23,1000,420,355
39,2020-04-12,2020-04-26,2021-04-20,4000,23220,363
40,2020-04-13,2020-04-27,2021-11-10,1500,13275,171
41,2020-04-17,2020-05-01,2021-05-19,4000,24660,190
42,2020-04-17,2020-05-01,2021-04-17,2500,14212.5,300
43,2020-04-17,2020-05-01,2020-05-23,3500,2625,337
44,2020-04-18,2020-05-02,2021-10-14,4000,33480,13
45,2020-04-18,2020-05-02,2020-08-26,2000,4320,40
46,2020-04-19,2020-05-03,,2500,31800,184
47,2020-04-20,2020-05-04,2020-08-14,4000,7800,174
48,2020-04-20,2020-05-04,2021-10-07,2000,16470,398
49,2020-04-21,2020-05-05,,4000,50760,322
50,2020-04-22,2020-05-06,2020-06-22,1500,1687.5,36
51,2020-04-22,2020-05-06,2020-11-19,5000,16875,224
52,2020-04-25,2020-05-09,2020-10-07,5000,13425,261
53,2020-04-27,2020-05-11,2021-06-21,3000,19530,361
54,2020-04-27,2020-05-11,2020-11-25,2000,6780,426
55,2020-05-01,2020-05-15,2020-07-18,5000,6900,89
56,2020-05-03,2020-05-17,2020-09-12,4500,9855,341
57,2020-05-03,2020-05-17,2020-08-10,2500,4237.5,372
58,2020-05-05,2020-05-19,,5000,62400,102
59,2020-05-08,2020-05-22,,4000,49740,187
60,2020-05-09,2020-05-23,2021-08-16,1500,10755,190
61,2020-05-10,2020-05-24,2020-09-26,4500,10327.5,363
62,2020-05-10,2020-05-24,2020-05-22,1000,420,458
63,2020-05-11,2020-05-25,,500,6195,288
64,2020-05-12,2020-05-26,2021-08-28,500,3652.5,74
65,2020-05-13,2020-05-27,2020-07-05,4000,4020,330
66,2020-05-15,2020-05-29,2020-06-16,2000,1380,173
67,2020-05-15,2020-05-29,2021-07-30,2500,17062.5,500
68,2020-05-16,2020-05-30,2020-11-19,500,1507.5,129
69,2020-05-16,2020-05-30,2020-09-17,500,1035,465
70,2020-05-16,2020-05-30,2021-10-23,3500,28297.5,466
71,2020-05-18,2020-06-01,2021-05-18,2500,14212.5,434
72,2020-05-18,2020-06-01,2020-07-23,2500,3000,458
73,2020-05-19,2020-06-02,2021-05-21,2500,14287.5,35
74,2020-05-20,2020-06-03,2021-08-07,1500,10305,285
75,2020-05-20,2020-06-03,2020-11-30,3500,10920,537
76,2020-05-22,2020-06-05,2021-06-11,3500,20947.5,27
77,2020-05-22,2020-06-05,2020-08-13,1000,1455,400
78,2020-05-23,2020-06-06,2021-05-28,2000,11520,230
79,2020-05-23,2020-06-06,2021-05-30,2500,14475,363
80,2020-05-23,2020-06-06,2020-10-23,2500,6262.5,472
81,2020-05-27,2020-06-10,2021-09-16,3000,22095,100
82,2020-05-29,2020-06-12,,4500,54540,2
83,2020-05-30,2020-06-13,2020-09-19,1000,1890,461
84,2020-05-30,2020-06-13,2020-11-20,2000,5640,572
85,2020-06-01,2020-06-15,2020-06-04,4500,1890,367
86,2020-06-02,2020-06-16,2020-09-16,1500,2700,359
87,2020-06-03,2020-06-17,2021-09-07,5000,35625,287
88,2020-06-03,2020-06-17,2020-11-21,2000,5550,409
89,2020-06-04,2020-06-18,2020-11-28,1000,2865,163
90,2020-06-06,2020-06-20,2020-07-16,4000,3240,94
91,2020-06-08,2020-06-22,2021-07-06,1000,6105,186
92,2020-06-08,2020-06-22,2021-06-22,2500,14737.5,406
93,2020-06-09,2020-06-23,2021-08-19,500,3375,267
94,2020-06-11,2020-06-25,,2000,23850,564
95,2020-06-12,2020-06-26,2021-06-26,2000,11790,406
96,2020-06-15,2020-06-29,,3000,35595,203
97,2020-06-16,2020-06-30,2020-09-29,4500,8032.5,349
98,2020-06-16,2020-06-30,2020-11-15,2500,6225,548
99,2020-06-18,2020-07-02,,4500,53190,488
100,2020-06-18,2020-07-02,2020-09-14,3500,5355,540
101,2020-06-18,2020-07-02,2020-11-05,1000,2310,640
102,2020-06-21,2020-07-05,2021-08-14,4500,29227.5,459
103,2020-06-21,2020-07-05,2020-09-08,1000,1395,557
104,2020-06-23,2020-07-07,2020-06-27,3500,1470,1
105,2020-06-23,2020-07-07,2021-09-11,2000,13770,301
106,2020-06-23,2020-07-07,,5000,58725,563
107,2020-06-23,2020-07-07,2021-09-29,500,3577.5,598
108,2020-06-25,2020-07-09,2020-11-17,2000,4770,142
109,2020-06-26,2020-07-10,2020-07-03,5000,2100,272
110,2020-06-26,2020-07-10,2021-06-29,2000,11460,445
111,2020-06-29,2020-07-13,2020-11-24,4000,9720,24
112,2020-06-29,2020-07-13,2020-07-02,3500,1470,495
113,2020-06-29,2020-07-13,2021-07-19,2000,11970,650
114,2020-06-30,2020-07-14,2020-08-16,2500,2287.5,326
115,2020-07-01,2020-07-15,,1000,11625,379
116,2020-07-01,2020-07-15,2021-09-01,4000,26460,603
117,2020-07-02,2020-07-16,2020-07-12,1500,630,317
118,2020-07-02,2020-07-16,2020-11-11,4500,9855,618
119,2020-07-04,2020-07-18,2020-07-23,4500,2227.5,531
120,2020-07-04,2020-07-18,2020-07-14,500,210,626
121,2020-07-05,2020-07-19,2021-07-12,1500,8685,174
122,2020-07-05,2020-07-19,2020-08-16,2000,1680,326
123,2020-07-06,2020-07-20,2021-08-29,3000,19485,527
124,2020-07-07,2020-07-21,2020-07-21,500,210,514
125,2020-07-08,2020-07-22,2020-09-08,1000,1140,323
126,2020-07-08,2020-07-22,2020-09-29,3000,4365,493
127,2020-07-08,2020-07-22,2020-11-17,2000,4380,679
128,2020-07-09,2020-07-23,2020-11-19,1500,3307.5,148
129,2020-07-09,2020-07-23,2021-10-04,4500,31455,632
130,2020-07-09,2020-07-23,2021-11-13,2000,15180,674
131,2020-07-10,2020-07-24,2020-07-11,2500,1050,146
132,2020-07-10,2020-07-24,,5000,57450,607
133,2020-07-12,2020-07-26,2020-11-17,2000,4260,72
134,2020-07-12,2020-07-26,2021-07-19,4000,23160,171
135,2020-07-12,2020-07-26,2021-07-22,2500,14587.5,594
136,2020-07-13,2020-07-27,2021-10-13,1000,7065,527
137,2020-07-14,2020-07-28,2021-08-17,3000,18585,433
138,2020-07-14,2020-07-28,2021-07-15,2000,11400,664
139,2020-07-15,2020-07-29,2020-10-07,1500,2205,660
140,2020-07-16,2020-07-30,2021-11-16,4500,33885,11
141,2020-07-17,2020-07-31,2020-10-18,1000,1605,394
142,2020-07-17,2020-07-31,,4500,51232.5,627
143,2020-07-18,2020-08-01,2021-11-05,5000,36675,678
144,2020-07-18,2020-08-01,2020-09-13,1500,1597.5,684
145,2020-07-18,2020-08-01,2021-10-01,500,3405,703
146,2020-07-19,2020-08-02,,4500,51097.5,679
147,2020-07-20,2020-08-03,2020-11-15,3000,5940,135
148,2020-07-20,2020-08-03,2021-08-04,2000,11820,346
149,2020-07-21,2020-08-04,2020-09-11,2000,1980,399
150,2020-07-22,2020-08-05,2021-10-01,4000,27000,339
151,2020-07-22,2020-08-05,2021-09-16,4500,29362.5,579
152,2020-07-23,2020-08-06,2020-08-01,5000,2100,65
153,2020-07-23,2020-08-06,2021-11-04,1500,10867.5,171
154,2020-07-23,2020-08-06,2021-08-13,2500,15000,723
155,2020-07-23,2020-08-06,2020-10-20,3500,5407.5,740
156,2020-07-24,2020-08-07,2021-10-31,4000,28680,24
157,2020-07-24,2020-08-07,,5000,56400,458
158,2020-07-26,2020-08-09,2021-07-26,5000,28425,316
159,2020-07-26,2020-08-09,,2000,22500,452
160,2020-07-26,2020-08-09,2020-11-07,5000,8850,526
161,2020-07-27,2020-08-10,2020-08-05,2000,840,766
162,2020-07-30,2020-08-13,2020-09-11,1500,1282.5,50
163,2020-08-01,2020-08-15,2021-10-13,3000,20340,32
164,2020-08-01,2020-08-15,2020-08-24,5000,2775,487
165,2020-08-01,2020-08-15,2021-09-18,4500,28822.5,613
166,2020-08-02,2020-08-16,2021-09-19,3500,22417.5,26
167,2020-08-03,2020-08-17,2021-10-28,4000,27900,639
168,2020-08-03,2020-08-17,2021-08-12,5000,29100,738
169,2020-08-04,2020-08-18,2020-09-21,4500,4185,420
170,2020-08-06,2020-08-20,2021-11-21,3500,25515,464
171,2020-08-06,2020-08-20,2020-10-27,2000,2880,730
172,2020-08-07,2020-08-21,2020-09-05,1500,967.5,14
173,2020-08-07,2020-08-21,2021-10-18,2000,13530,156
174,2020-08-07,2020-08-21,2021-11-17,1500,10822.5,611
